epoch,train_loss,val_loss,val_threshold,val_accuracy,val_precision,val_recall,val_f1,val_balanced_accuracy,val_auroc,val_average_precision,lr,epoch_seconds
1,0.07236077393848626,0.011501949010416866,0.29,0.9972222222222222,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.995,0.999915,0.9995858188582488,0.0007,134.02031803131104
2,0.02465512686841456,0.01390913114262124,0.7599999999999999,0.9977777777777778,0.9983164983164983,0.9883333333333333,0.9932998324958124,0.994,0.99983,0.9991649422328086,0.0007,131.16930985450745
3,0.0203657557927571,0.005009901469780339,0.4749999999999999,0.9994444444444445,1.0,0.9966666666666667,0.9983305509181971,0.9983333333333333,0.9999944444444444,0.9999724425178838,0.0007,132.07657051086426
4,0.015913210918744362,0.08255787940514792,0.94,0.9894444444444445,0.946031746031746,0.9933333333333333,0.9691056910569105,0.991,0.9981313888888889,0.9877127181794718,0.0007,131.71332001686096
5,0.015010759075022568,0.0034237187147502686,0.15499999999999997,0.9986111111111111,0.9933665008291874,0.9983333333333333,0.9958437240232751,0.9984999999999999,0.9999894444444445,0.9999474191604057,0.00035,130.77443051338196
6,0.00787136891729287,0.004537391980540835,0.9149999999999999,0.9994444444444445,0.9983333333333333,0.9983333333333333,0.9983333333333333,0.999,0.9999961111111111,0.9999807205720573,0.00035,130.11597800254822
7,0.009393437773271996,0.0066193179981524335,0.9349999999999999,0.9991666666666666,0.9966722129783694,0.9983333333333333,0.9975020815986677,0.9988333333333332,0.9999922222222222,0.9999619978284474,0.000175,129.6021032333374
8,0.008699695270818968,0.004385037971531144,0.8599999999999999,0.9997222222222222,0.9983361064891847,1.0,0.9991673605328892,0.9998333333333334,0.9999994444444444,0.9999972268441488,0.000175,129.73145055770874
9,0.0072123864800891,0.002328784040097768,0.6799999999999999,0.9994444444444445,0.9966777408637874,1.0,0.9983361064891847,0.9996666666666667,0.9999977777777778,0.9999889165897371,0.000175,129.6465127468109
10,0.0036974044588887842,0.0024447248361927146,0.82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.000175,129.907372713089
11,0.007657196634584883,0.001714419706711649,0.7549999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.000175,130.12521314620972
12,0.005700407560770622,0.0017815008698380552,0.8099999999999999,0.9997222222222222,1.0,0.9983333333333333,0.9991659716430359,0.9991666666666666,0.9999983333333333,0.9999917081260365,8.75e-05,130.19915962219238
13,0.005243815777884309,0.0010061779398367638,0.615,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.75e-05,130.58967638015747
14,0.005794392931302787,0.001893155159357573,0.8549999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.375e-05,130.239684343338
